INST CYCLE PERC BEST FIT SOL
ACAD 0 30 41.23222748815166 41.23222748815166 [000110110110000000000000000110100000000]
ACAD 1 30 41.23222748815166 41.23222748815166 [000100100110000000000000000010100000000]
ACAD 2 30 41.23222748815166 41.23222748815166 [100100100010000000000000000011100000000]
ACAD 3 30 41.23222748815166 41.23222748815166 [000100100010000000000000000010100000000]
ACAD 4 30 41.23222748815166 41.23222748815166 [000100110010000000000000000010100000000]
ACAD 5 30 41.23222748815166 41.23222748815166 [001100100010000000000000000011100000000]
ACAD 6 30 41.23222748815166 41.23222748815166 [100100110110000000000000000111100000000]
ACAD 7 30 41.23222748815166 41.23222748815166 [000100100010000000000000000111100000000]
ACAD 8 30 41.23222748815166 41.23222748815166 [100110110110000000000000000110100000000]
ACAD 9 30 41.23222748815166 41.23222748815166 [100110100010000000000000000010100000000]
ACAD 10 30 41.23222748815166 41.23222748815166 [000100110010000000000000000010100000000]
ACAD 11 30 41.23222748815166 41.23222748815166 [001110100110000000000000000010100000000]
ACAD 12 30 41.23222748815166 41.23222748815166 [001100100110000000000000000010100000000]
ACAD 13 30 41.23222748815166 41.23222748815166 [000100100110000000000000000011100000000]
ACAD 14 30 41.23222748815166 41.23222748815166 [001110100110000000000000000010100000000]
ACAD 15 30 41.23222748815166 41.23222748815166 [000110110110000000000000000010100000000]
ACAD 16 30 41.23222748815166 41.23222748815166 [000100100010000000000000000011100000000]
ACAD 17 30 41.23222748815166 41.23222748815166 [001100110110000000000000000010100000000]
ACAD 18 30 41.23222748815166 41.23222748815166 [000100110010000000000000000011100000000]
ACAD 19 30 41.23222748815166 41.23222748815166 [000110110010000000000000000010100000000]
ACAD 20 30 41.23222748815166 41.23222748815166 [000100100110000000000000000010100000000]
ACAD 21 30 36.018957345971565 36.018957345971565 [000100101110000000000001011000000000000]
ACAD 22 30 41.23222748815166 41.23222748815166 [100110110010000000000000000010100000000]
ACAD 23 30 41.23222748815166 41.23222748815166 [000100100010000000000000000111100000000]
ACAD 24 30 41.23222748815166 41.23222748815166 [000110100110000000000000000010100000000]
ACAD 25 30 41.23222748815166 41.23222748815166 [101100100110000000000000000010100000000]
ACAD 26 30 41.23222748815166 41.23222748815166 [001100100010000000000000000010100000000]
ACAD 27 30 41.23222748815166 41.23222748815166 [001100100010000000000000000110100000000]
ACAD 28 30 41.23222748815166 41.23222748815166 [000110100110000000000000000010100000000]
ACAD 29 30 41.23222748815166 41.23222748815166 [001110100010000000000000000011100000000]
